Location,Household Type,TimeFrame,DataFormat, Data ,Fips
Riverdale,All Households,2005,Dollars," $60,686.22 ",208
Williamsbridge,All Households,2005,Dollars," $49,881.99 ",212
Throgs Neck,All Households,2005,Dollars," $55,211.29 ",210
Pelham Parkway,All Households,2005,Dollars," $50,494.64 ",211
Morrisania,All Households,2005,Dollars," $23,524.24 ",203
East Tremont,All Households,2005,Dollars," $23,524.24 ",206
Bedford Park,All Households,2005,Dollars," $36,678.64 ",207
University Heights,All Households,2005,Dollars," $24,332.74 ",205
Concourse/Highbridge,All Households,2005,Dollars," $26,062.72 ",204
Unionport/Soundview,All Households,2005,Dollars," $42,561.58 ",209
Mott Haven,All Households,2005,Dollars," $17,446.71 ",201
Hunts Point,All Households,2005,Dollars," $17,446.71 ",202
Washington Heights,All Households,2005,Dollars," $39,886.26 ",112
Manhattanville,All Households,2005,Dollars," $35,106.84 ",109
Central Harlem,All Households,2005,Dollars," $33,587.77 ",110
East Harlem,All Households,2005,Dollars," $33,812.49 ",111
Upper East Side,All Households,2005,Dollars," $103,965.90 ",108
Upper West Side,All Households,2005,Dollars," $105,587.92 ",107
Chelsea/Clinton,All Households,2005,Dollars," $88,613.25 ",104
Midtown Business District,All Households,2005,Dollars," $88,613.25 ",105
Murray Hill/Stuyvesant,All Households,2005,Dollars," $108,133.93 ",106
Lower East Side,All Households,2005,Dollars," $40,241.55 ",103
Battery Park/Tribeca,All Households,2005,Dollars," $116,703.49 ",101
Greenwich Village,All Households,2005,Dollars," $116,703.49 ",102
Tottenville,All Households,2005,Dollars," $100,847.42 ",503
South Beach,All Households,2005,Dollars," $74,698.07 ",502
St. George,All Households,2005,Dollars," $64,983.55 ",501
Williamsburg/Greenpoint,All Households,2005,Dollars," $38,234.11 ",301
Bushwick,All Households,2005,Dollars," $32,033.55 ",304
Bedford Stuyvesant,All Households,2005,Dollars," $38,672.26 ",303
Fort Greene/Brooklyn Hts,All Households,2005,Dollars," $64,173.80 ",302
Park Slope,All Households,2005,Dollars," $88,943.43 ",306
Crown Heights North,All Households,2005,Dollars," $38,107.31 ",308
Brownsville,All Households,2005,Dollars," $27,863.01 ",316
East New York,All Households,2005,Dollars," $38,762.65 ",305
Canarsie,All Households,2005,Dollars," $65,902.53 ",318
East Flatbush,All Households,2005,Dollars," $52,478.22 ",317
Crown Heights South,All Households,2005,Dollars," $46,673.11 ",309
Sunset Park,All Households,2005,Dollars," $47,510.48 ",307
Bay Ridge,All Households,2005,Dollars," $61,017.65 ",310
Borough Park,All Households,2005,Dollars," $41,011.12 ",312
Flatbush/Midwood,All Households,2005,Dollars," $46,861.43 ",314
