ZIP,Neighborhood,Borough,Cases,"Cases per 100,000","Deaths per 100,000",Percent positive<br>(of people tested)
10001,Chelsea/NoMad/West Chelsea,Manhattan,420,1782.45,106.1,6.95
10002,Chinatown/Lower East Side,Manhattan,1237,1611.61,208.45,10
10003,East Village/Gramercy/Greenwich Village,Manhattan,516,959.08,63.2,5.39
10004,Financial District,Manhattan,39,1068.32,27.39,6.04
10005,Financial District,Manhattan,81,964.73,23.82,5.31
10006,Financial District,Manhattan,36,1041.13,0,5.24
10007,TriBeCa,Manhattan,71,860.63,36.36,4.5
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,796,1354.94,117.45,7.24
10010,Flatiron/Gramercy/Kips Bay,Manhattan,310,957.62,58.69,4.79
10011,Chelsea,Manhattan,597,1206.05,86.87,5.93
10012,Greenwich Village/SoHo,Manhattan,193,804.8,37.53,4.85
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,306,1054.04,72.34,5.09
10014,Hudson Square/Meatpacking District/West Village,Manhattan,360,1159.68,93.42,5.38
10016,Kips Bay/Murray Hill/NoMad,Manhattan,800,1523.1,93.29,6.96
10017,East Midtown/Murray Hill,Manhattan,162,1004.51,49.61,5.2
10018,Hell's Kitchen/Midtown Manhattan,Manhattan,245,2570.44,52.46,7.31
10019,Hell's Kitchen/Midtown Manhattan,Manhattan,670,1648.97,103.37,6.93
10021,Lenox Hill/Upper East Side,Manhattan,616,1394.43,144.88,6.33
10022,East Midtown,Manhattan,381,1255.98,102.19,5.83
10023,Lincoln Square,Manhattan,622,1031.94,89.59,5.4
10024,Upper West Side,Manhattan,800,1395.24,130.8,6.72
10025,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,1485,1608.3,190.61,7.18
10026,Central Harlem (South),Manhattan,721,1847.86,120.46,10.73
10027,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,1147,1802.58,177.59,10.22
10028,Upper East Side/Yorkville,Manhattan,519,1055.84,67.13,5.87
10029,East Harlem,Manhattan,1945,2466.97,268.89,12.64
10030,Central Harlem (North),Manhattan,553,1885.96,187.57,11.82
10031,Hamilton Heights/West Harlem,Manhattan,1450,2394.44,217.98,12.61
10032,Washington Heights (South),Manhattan,1680,2732.04,282.96,13.7
10033,Washington Heights (North)/Washington Heights (South),Manhattan,1461,2467.47,202.67,13.64
10034,Inwood/Washington Heights (North),Manhattan,814,1889.79,164.83,10.98
10035,East Harlem,Manhattan,1098,3189.39,389.23,14.34
10036,Hell's Kitchen/Midtown Manhattan,Manhattan,498,1899.95,152.61,8.05
10037,Central Harlem (North)/East Harlem,Manhattan,560,2711.91,300.25,12.39
10038,Chinatown/Financial District,Manhattan,275,1247.28,127,7.44
10039,Central Harlem (North)/Washington Heights (South),Manhattan,582,2199.75,241.9,13.46
10040,Washington Heights (North),Manhattan,1229,2742.8,263.34,14.07
10044,Roosevelt Island,Manhattan,253,2162.34,307.68,11.53
10065,Lenox Hill/Upper East Side,Manhattan,345,1187.14,96.35,5.3
10069,Lincoln Square,Manhattan,65,1025.54,31.56,5.8
10075,Lenox Hill/Upper East Side,Manhattan,435,1840.56,190.4,7.91
10128,Upper East Side/Yorkville,Manhattan,698,1137.7,66.83,5.89
10280,Battery Park City,Manhattan,62,644.58,0,5.12
10282,Battery Park City,Manhattan,80,1450.47,271.96,9.73
10301,Silver Lake/St. George,Staten Island,1281,3233.74,267.59,16.18
10302,Elm Park,Staten Island,667,3552.79,170.45,20.27
10303,Graniteville/Mariner's Harbor/Port Ivory,Staten Island,923,3518.65,175.36,18.28
10304,New Dorp/Todt Hill,Staten Island,1468,3458.29,428.75,17.15
10305,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,Staten Island,1333,3131.98,187.97,17.02
10306,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,Staten Island,1536,2861.1,152.74,14.98
10307,Tottenville,Staten Island,411,2701.36,98.59,16.44
10308,Great Kills,Staten Island,690,2328.3,94.48,14.92
10309,Charleston/Prince's Bay/Woodrow,Staten Island,900,2726.86,93.93,15.44
10310,Port Richmond/Randall Manor/West Brighton,Staten Island,741,3104.19,138.24,15.8
10312,Annadale/Rossville,Staten Island,1635,2711.25,97.84,15.74
10314,Bloomfield/Freshkills Park,Staten Island,2817,3101.25,221.28,16.55
10451,Concourse/Melrose,Bronx,1676,3512.24,312.25,16.41
10452,Concourse/Highbridge,Bronx,2630,3414.03,220.68,17.44
10453,Morris Heights/Mount Hope/University Heights,Bronx,2609,3213.69,202.01,18.34
10454,Mott Haven/Port Morris,Bronx,1243,3251.93,274.7,16.36
10455,Mott Haven,Bronx,1407,3336.15,260.82,17.5
10456,Claremont/Morrisania,Bronx,2752,2945.15,310.35,16.09
10457,Belmont/Claremont/Mount Hope/Tremont,Bronx,2417,3236.26,249.05,16.34
10458,Belmont/Fordham University/Kingsbridge,Bronx,2306,2751.54,150.34,17.13
10459,Charlotte Gardens/Hunts Point,Bronx,1626,3362.66,343.3,17.3
10460,Charlotte Gardens/Tremont/Van Nest/West Farms,Bronx,1813,3017.98,211.41,17.49
10461,Morris Park/Pelham Bay/Westchester Square,Bronx,1946,3932.94,278.9,17.67
10462,Parkchester/Pelham Parkway/Van Nest/Westchester Square,Bronx,2416,3124.18,236.64,16.42
10463,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil,Bronx,2196,3080.49,300.19,14.25
10464,City Island,Bronx,132,3032.28,206.75,13.82
10465,Country Club/Throgs Neck,Bronx,1568,3643.93,197.53,17.16
